time;x;y;z;speed x;speed y;speed z;roll;pitch;yaw;pX|X;pX|Y;pX|Z;pY|X;pY|Y;pY|Z;pZ|X;pZ|Y;pZ|Z;roll Scalar;pitch Scalar;yaw Scalar;accelerate;roll Input;pitch Input;yaw Input
18,7374;2043,609;100,3892;5,900513;112,3861;-4,072414;5,043118;-134,3069;-2,536671;87,30363;-0,001222804;0,7149075;0,6992183;-0,06454566;-0,6978174;0,7133622;0,9979143;-0,04425937;0,04699706;-0,6978174;-0,04425937;0,04699706;1;-1;0;0
18,7541;2045,485;100,3133;5,97998;112,3839;-4,261519;5,04996;-136,5289;-2,639008;87,40739;-0,001183443;0,6872594;0,7264115;-0,06450063;-0,7249521;0,6857734;0,9979173;-0,04604262;0,04518611;-0,724952;-0,04604262;0,04518611;1;-1;0;0
18,7708;2047,362;100,2343;6,059326;112,3815;-4,450941;5,050935;-138,7517;-2,737238;87,51505;-0,001142517;0,6585708;0,7525182;-0,06445751;-0,7510025;0,6571463;0,99792;-0,04775479;0,04330747;-0,7510024;-0,04775479;0,04330747;1;-1;0;0
18,7875;2049,239;100,1524;6,138184;112,3791;-4,640448;5,045994;-140,9755;-2,831237;87,6265;-0,001099981;0,6288847;0,7774982;-0,06441572;-0,7759289;0,6275239;0,9979229;-0,04939306;0,04136296;-0,7759288;-0,04939306;0,04136296;1;-1;0;0
18,8042;2051,115;100,0675;6,217041;112,3767;-4,829806;5,035096;-143,2;-2,920742;87,74157;-0,001055352;0,5982453;0,8013127;-0,06437543;-0,7996919;0,5969502;0,9979254;-0,050955;0,03935576;-0,7996918;-0,050955;0,03935576;1;-1;0;0
18,8209;2052,992;99,97968;6,295166;112,3742;-5,01878;5,018209;-145,4254;-3,005894;87,86004;-0,001009494;0,5666987;0,8239248;-0,06433707;-0,8222553;0,5654714;0,9979279;-0,0524382;0,03728935;-0,8222552;-0,0524382;0,03728935;1;-1;0;0
18,8376;2054,869;99,88894;6,372803;112,3716;-5,207132;4,995317;-147,6515;-3,086292;87,98174;-0,000962291;0,5342919;0,8452997;-0,06430066;-0,8435839;0,5331342;0,9979302;-0,05384035;0,03516689;-0,8435839;-0,05384035;0,03516689;1;-1;0;0
18,8543;2056,745;99,79529;6,449951;112,3689;-5,394628;4,966408;-149,8783;-3,161988;88,1065;-0,000914346;0,5010741;0,8654041;-0,06426649;-0,8636451;0,4999876;0,9979326;-0,05515939;0,03299158;-0,8636451;-0,05515939;0,03299158;1;-1;0;0
18,871;2058,622;99,69876;6,526367;112,3662;-5,581028;4,931487;-152,1059;-3,23283;88,23412;-0,000864867;0,4670949;0,8842069;-0,06423423;-0,8824072;0,4660814;0,9979346;-0,05639328;0,03076642;-0,8824072;-0,05639328;0,03076642;1;-1;0;0
18,8877;2060,498;99,59937;6,601807;112,3635;-5,766098;4,890564;-154,3341;-3,298594;88,36446;-0,000814255;0,4324052;0,9016792;-0,06420366;-0,8998418;0,4314661;0,9979366;-0,05753982;0,02849448;-0,8998418;-0,05753982;0,02849448;1;-1;0;0
18,9044;2062,375;99,49716;6,676514;112,3607;-5,949599;4,843661;-156,563;-3,359345;88,49728;-0,000762455;0,3970577;0,9177935;-0,0641752;-0,9159214;0,3961944;0,9979385;-0,05859755;0,02617932;-0,9159214;-0,05859755;0,02617932;1;-1;0;0
18,9211;2064,251;99,39215;6,75;112,3579;-6,131299;4,790808;-158,7924;-3,414894;88,63238;-0,000710143;0,3611054;0,932525;-0,06414902;-0,9306213;0,3603193;0,9979403;-0,05956477;0,02382492;-0,9306213;-0,05956477;0,02382492;1;-1;0;0
18,9378;2066,127;99,2844;6,822754;112,355;-6,310961;4,732049;-161,0225;-3,465037;88,76955;-0,000656631;0,3246025;0,9458504;-0,06412481;-0,9439178;0,3238947;0,9979418;-0,06043984;0,02143458;-0,9439178;-0,06043984;0,02143458;1;-1;0;0
